"value","mean","sd","lower","median","upper","mode","kld","group","effect","deltawaic","deltadic","deltaLS","clim","lag"
1.486688,-0.0865392833948135,0.0170511454343796,-0.120027809318356,-0.0865366457694546,-0.0530945666421453,-0.0865298882126808,1.87880717507888e-06,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
1.61901322147477,-0.0830515623092651,0.0181344766169786,-0.118664357059478,-0.0830501699173866,-0.0474780859596794,-0.0830458179116249,1.49615402938191e-06,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
1.749087,-0.0619827285408974,0.0192253310233355,-0.0996980029251166,-0.0619948011960913,-0.0242360215424088,-0.062017634510994,2.24575649952785e-07,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
1.8828575,-0.0385902971029282,0.0209542755037546,-0.0796783278906312,-0.0386091928102326,0.00256281358402031,-0.038645826280117,1.06473213083697e-07,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
2.013081,-0.0240521226078272,0.0250203069299459,-0.0731394944295684,-0.0240652042543068,0.0250611973649301,-0.0240895859897137,1.25009745407067e-07,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
2.13797875964489,-0.0179366935044527,0.0332184806466103,-0.0831246695336981,-0.0179487679607274,0.0472570519388557,-0.017970347777009,2.57401403558512e-08,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
2.260386,-0.0196467973291874,0.0461676940321922,-0.110277732086843,-0.0196544521124968,0.070941555322546,-0.0196660105139017,9.57334452249828e-08,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
2.39621,-0.0273026861250401,0.0655136480927467,-0.156003221256979,-0.0272855206727912,0.101181775689073,-0.0272451154887676,3.21634484715675e-07,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
2.5158025,-0.0355844981968403,0.0859385877847672,-0.204511676645629,-0.035530653646079,0.132885486065112,-0.0354138687252998,4.95925003654823e-07,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
-2.7796665,-0.116971410810947,0.0899433568120003,-0.293985188618282,-0.116824781258412,0.0590947145649993,-0.116515345871449,7.92017259006922e-06,1,"spei6_2",-130.372232872993,-90.0081985640572,-0.000660980455390092,"spei6","2"
-2.651802,-0.0461221449077129,0.0688750669360161,-0.18158941533822,-0.0460398983430925,0.0887820790793102,-0.0458656810224056,6.74835062993677e-06,1,"spei6_2",-130.372232872993,-90.0081985640572,-0.000660980455390092,"spei6","2"
-2.5285705,0.0207511819899082,0.0517093427479267,-0.0808902847891844,0.020789959078839,0.122093562398265,0.0208734069019556,4.47778964136176e-06,1,"spei6_2",-130.372232872993,-90.0081985640572,-0.000660980455390092,"spei6","2"
-2.38794993693829,0.0916676744818687,0.0366387255489826,0.0196983687586548,0.0916778951580939,0.163516239055299,0.0917018055915833,1.02434963361783e-06,1,"spei6_2",-130.372232872993,-90.0081985640572,-0.000660980455390092,"spei6","2"
-2.254091,0.146930783987045,0.0274000018835068,0.0931493109444778,0.146925161987935,0.200691416120717,0.146916091442108,5.10062142596834e-07,1,"spei6_2",-130.372232872993,-90.0081985640572,-0.000660980455390092,"spei6","2"
-2.11547210314538,0.184321820735931,0.0225600209087133,0.140078772377332,0.184305644819483,0.228609545867623,0.184274792671204,6.04180381275327e-06,1,"spei6_2",-130.372232872993,-90.0081985640572,-0.000660980455390092,"spei6","2"
-1.96938420659058,0.19474133849144,0.0203420929610729,0.154863121072069,0.194722859958529,0.23468152738332,0.194687485694885,1.05360236088131e-05,1,"spei6_2",-130.372232872993,-90.0081985640572,-0.000660980455390092,"spei6","2"
-1.835101,0.181150883436203,0.0191119983792305,0.143682427835198,0.181133719387308,0.218676300139747,0.181100741028786,9.01472731376154e-06,1,"spei6_2",-130.372232872993,-90.0081985640572,-0.000660980455390092,"spei6","2"
-1.69504167860056,0.152599230408669,0.0180653836578131,0.117173289873508,0.152585287736494,0.188066378227074,0.152558490633965,5.35899198892098e-06,1,"spei6_2",-130.372232872993,-90.0081985640572,-0.000660980455390092,"spei6","2"
-1.55810388315524,0.125766605138779,0.0171747598797083,0.0920792320936181,0.125755871444328,0.159479431287675,0.125735566020012,4.59575678551542e-06,1,"spei6_2",-130.372232872993,-90.0081985640572,-0.000660980455390092,"spei6","2"
-1.413453172432,0.0963742956519127,0.0163001492619514,0.0643977665648261,0.0963656332163041,0.128366719063745,0.0963494777679443,4.32718862153344e-06,1,"spei6_2",-130.372232872993,-90.0081985640572,-0.000660980455390092,"spei6","2"
-1.27716100924108,0.0681757107377052,0.0157064888626337,0.0373617218105162,0.0681678211183892,0.0990025889199468,0.0681531354784966,3.11690703241326e-06,1,"spei6_2",-130.372232872993,-90.0081985640572,-0.000660980455390092,"spei6","2"
-1.1368958068101,0.0470342710614204,0.0152265578508377,0.0171604507819375,0.0470269301710797,0.0769189289588506,0.0470132902264595,2.40319775485817e-06,1,"spei6_2",-130.372232872993,-90.0081985640572,-0.000660980455390092,"spei6","2"
-0.996113977037895,0.0399637296795845,0.0148010039702058,0.0109281108434174,0.039955652351286,0.0690149388680672,0.039940495043993,3.32782702248027e-06,1,"spei6_2",-130.372232872993,-90.0081985640572,-0.000660980455390092,"spei6","2"
-0.854815275188997,0.0408240333199501,0.0144801083952188,0.0124208116339454,0.0408154523987896,0.0692461806967119,0.0407992973923683,4.9572347463865e-06,1,"spei6_2",-130.372232872993,-90.0081985640572,-0.000660980455390092,"spei6","2"
-0.715721588467407,0.0493373312056065,0.0143326027318835,0.0212169690226354,0.0493318036959736,0.0774603529714705,0.0493221431970596,1.0314573652084e-05,1,"spei6_2",-130.372232872993,-90.0081985640572,-0.000660980455390092,"spei6","2"
-0.573297708153995,0.0439677387475967,0.0142979584634304,0.0159156512877252,0.0439622090639442,0.0720225924777121,0.0439525842666626,1.08257125973546e-05,1,"spei6_2",-130.372232872993,-90.0081985640572,-0.000660980455390092,"spei6","2"
-0.433423176447818,0.0239251870661974,0.0141539946198463,-0.00383686739536274,0.0239164134003676,0.0517078451853803,0.023899856954813,5.56988154070506e-06,1,"spei6_2",-130.372232872993,-90.0081985640572,-0.000660980455390092,"spei6","2"
